ABMI.Site,day,month,year,Days.Since.Snow,Snow.Conditions,Temperature..Degrees.Celsius.,mean.snow.depth
192,21,Dec,2011,6,Powder,-10,30.166666666666668
192,21,Dec,2011,6,Powder,-10,28
193,20,Dec,2011,5,Powder,-8,32.666666666666664
193,20,Dec,2011,5,Powder,-8,24.166666666666668
194,20,Dec,2011,5,Powder,-8,35.666666666666664
194,20,Dec,2011,5,Powder,-8,35.666666666666664
207,2,Feb,2012,3,Powder,-5,5.5
208,5,Feb,2012,6,Powder,-7,35
209,5,Feb,2012,6,Powder,-10,39.5
211,14,Jan,2013,6,Powder,-21,38.833333333333336
212,31,Jan,2014,5,Powder,-22,55.333333333333336
212,31,Jan,2014,5,Powder,-22,55.333333333333336
213,1,Feb,2014,6,Powder,-16,55.5
213,1,Feb,2014,6,Powder,-16,55.5
216,18,Jan,2009,6,Powder,-5,59
217,24,Jan,2009,2,Powder,-28,59.5
218,18,Jan,2009,6,Wet,2,57
231,11,Jan,2012,6,Powder,-14,32.833333333333336
231,11,Jan,2012,6,Powder,-14,30.166666666666668
232,11,Jan,2012,6,Powder,-14,32.666666666666664
232,11,Jan,2012,6,Powder,-14,32.666666666666664
233,3,Feb,2012,4,Powder,-1,38.5
233,3,Feb,2012,4,Powder,-1,43
238,4,Feb,2014,3,Powder,-22,48.5
238,4,Feb,2014,3,Powder,-22,48.5
239,5,Feb,2014,3,Powder,-18,43.5
239,5,Feb,2014,3,Powder,-18,43.5
240,30,Jan,2014,4,Powder,-22,35.833333333333336
240,30,Jan,2014,4,Powder,-22,35.833333333333336
241,31,Jan,2014,5,Powder,-20,45.5
241,31,Jan,2014,5,Powder,-20,45.5
242,29,Jan,2014,3,Powder,-26,43.333333333333336
242,29,Jan,2014,3,Powder,-26,43.333333333333336
246,24,Jan,2009,3,Powder,-25,62.666666666666664
247,17,Jan,2009,5,Powder,-5,55.333333333333336
248,18,Jan,2009,6,Powder,2,56.166666666666664
261,10,Jan,2012,5,Powder,-15,26.333333333333332
261,10,Jan,2012,5,Powder,-15,25.333333333333332
262,24,Jan,2012,3,Powder,-18,35.333333333333336
262,24,Jan,2012,3,Powder,-18,38
263,24,Jan,2012,3,Powder,-18,35
263,24,Jan,2012,3,Powder,-18,37.166666666666664
268,7,Feb,2014,5,Powder,-20,50
268,7,Feb,2014,5,Powder,-20,50
269,5,Feb,2014,3,Powder,-22,43
269,5,Feb,2014,3,Powder,-22,43
270,20,Mar,2013,6,Powder,-15,70.83333333333333
270,20,Mar,2013,6,Powder,-15,70.83333333333333
271,19,Mar,2013,6,Powder,-15,59
271,19,Mar,2013,6,Powder,-15,59
272,17,Mar,2013,3,Powder,-23,64
272,17,Mar,2013,3,Powder,-23,64
276,15,Jan,2009,3,Powder,-5,67.5
278,17,Jan,2009,6,Wet,5,65.16666666666667
291,10,Jan,2012,5,Powder,-17,31.666666666666668
291,10,Jan,2012,5,Powder,-17,23
292,25,Jan,2012,4,Powder,-10,24.666666666666668
292,25,Jan,2012,4,Powder,-10,33.666666666666664
